# acf_x acf_y acf_t
1.000139 1.000139 1.000139
0.993856 0.948843 0.999433
0.992978 0.945488 0.999364
0.992281 0.943620 0.999292
0.991029 0.941760 0.999144
0.989741 0.937157 0.998974
0.987992 0.935204 0.998737
0.986106 0.932327 0.998432
0.983482 0.929019 0.998100
0.980851 0.926590 0.997717
0.978032 0.923295 0.997296
0.974930 0.920296 0.996795
0.971395 0.917027 0.996261
0.967880 0.913438 0.995648
0.963585 0.908822 0.994992
0.959425 0.905426 0.994317
0.954698 0.900573 0.993584
0.949920 0.895821 0.992797
0.944762 0.891231 0.991959
0.939252 0.886314 0.991080
0.933658 0.881414 0.990162
0.927765 0.877055 0.989189
0.921507 0.870445 0.988179
0.915022 0.864238 0.987126
0.908305 0.859018 0.986009
0.901293 0.854250 0.984884
0.894163 0.848089 0.983686
0.886571 0.841488 0.982450
0.878840 0.834739 0.981177
0.870982 0.828455 0.979843
0.862886 0.821327 0.978474
0.854217 0.815014 0.977089
0.845564 0.806540 0.975625
0.836745 0.800444 0.974129
0.827626 0.792192 0.972613
0.818228 0.786156 0.971042
0.808812 0.778785 0.969438
0.798844 0.771553 0.967807
0.788920 0.763802 0.966124
0.778644 0.755579 0.964403
0.768394 0.747891 0.962653
0.757868 0.741106 0.960868
0.747137 0.732830 0.959060
0.735963 0.725814 0.957187
0.724749 0.717732 0.955261
0.713481 0.708092 0.953330
0.702098 0.699684 0.951359
0.690373 0.691661 0.949360
0.678601 0.682679 0.947311
0.666683 0.674842 0.945245
0.654334 0.665244 0.943125
0.642053 0.655210 0.940981
0.629419 0.647114 0.938814
0.616930 0.638406 0.936609
0.604061 0.629911 0.934358
0.591311 0.620221 0.932074
0.578154 0.611432 0.929788
0.564941 0.601936 0.927451
0.551637 0.592322 0.925097
0.538374 0.583473 0.922725
0.524636 0.573425 0.920323
0.510916 0.565056 0.917872
0.497144 0.556094 0.915356
0.483180 0.547573 0.912851
0.469391 0.538918 0.910302
0.455037 0.530272 0.907737
0.440884 0.521835 0.905142
0.426555 0.512850 0.902502
0.412037 0.504520 0.899865
0.397601 0.495609 0.897196
0.383018 0.486975 0.894506
0.368613 0.477133 0.891797
0.353652 0.467813 0.889065
0.338815 0.461288 0.886293
0.324078 0.451742 0.883515
0.309229 0.442911 0.880700
0.294302 0.432345 0.877868
0.279298 0.424617 0.875013
0.264399 0.415177 0.872136
0.249210 0.406509 0.869246
0.234139 0.398901 0.866339
0.218948 0.389463 0.863405
0.203771 0.378604 0.860466
0.188679 0.370311 0.857512
0.173401 0.361068 0.854511
0.158117 0.353696 0.851520
0.142914 0.343056 0.848477
0.127592 0.334705 0.845458
0.112413 0.325875 0.842392
0.097232 0.317096 0.839324
0.081812 0.308321 0.836209
0.066678 0.299113 0.833127
0.051416 0.289856 0.830009
0.036248 0.282492 0.826867
0.020999 0.271737 0.823730
0.005802 0.265756 0.820565
-0.009302 0.255488 0.817384
-0.024560 0.246158 0.814182
-0.039377 0.236383 0.810981
-0.054457 0.227935 0.807737
-0.069591 0.219458 0.804505
-0.084451 0.209542 0.801247
-0.099260 0.201858 0.797998
-0.114382 0.192074 0.794687
-0.129124 0.184058 0.791398
-0.143950 0.175329 0.788134
-0.158508 0.167073 0.784840
-0.173068 0.156266 0.781506
-0.187585 0.149384 0.778187
-0.202252 0.140198 0.774820
-0.216473 0.132391 0.771455
-0.230736 0.121711 0.768065
-0.245100 0.114579 0.764698
-0.259078 0.106713 0.761312
-0.273196 0.097625 0.757900
-0.287272 0.088911 0.754471
-0.301070 0.080905 0.751040
-0.314706 0.072734 0.747625
-0.328561 0.064562 0.744183
-0.342052 0.055939 0.740758
-0.355411 0.047744 0.737307
-0.368753 0.038579 0.733800
-0.382071 0.031454 0.730309
-0.395029 0.023166 0.726811
-0.408047 0.014764 0.723288
-0.421004 0.006719 0.719777
-0.433704 -0.000613 0.716261
-0.446148 -0.008175 0.712704
-0.458735 -0.016149 0.709196
-0.470956 -0.023236 0.705648
-0.483247 -0.031351 0.702106
-0.495331 -0.039282 0.698562
-0.507105 -0.048807 0.694989
-0.519077 -0.056726 0.691458
-0.530538 -0.063401 0.687872
-0.541848 -0.070798 0.684290
-0.553128 -0.078634 0.680709
-0.564210 -0.085141 0.677119
-0.575321 -0.093884 0.673538
-0.585968 -0.101323 0.669943
-0.596523 -0.108328 0.666338
-0.606947 -0.115534 0.662724
-0.617177 -0.122312 0.659119
-0.627290 -0.129048 0.655514
-0.637236 -0.136072 0.651885
-0.646943 -0.144304 0.648267
-0.656601 -0.150887 0.644646
-0.665675 -0.156309 0.640997
-0.674884 -0.163230 0.637399
-0.683821 -0.170004 0.633766
-0.692553 -0.175302 0.630126
-0.701246 -0.182101 0.626530
-0.709413 -0.188931 0.622871
-0.717493 -0.195153 0.619232
-0.725373 -0.201272 0.615608
-0.733120 -0.207233 0.611980
-0.740707 -0.214198 0.608341
-0.747927 -0.218614 0.604709
-0.754900 -0.223852 0.601052
-0.761730 -0.228411 0.597433
-0.768401 -0.234386 0.593787
-0.774932 -0.240425 0.590160
-0.780890 -0.244646 0.586537
-0.786914 -0.250030 0.582888
-0.792643 -0.255823 0.579258
-0.797901 -0.260564 0.575620
-0.803182 -0.265432 0.572006
-0.808115 -0.269639 0.568382
