Neigung_x, Neigung_y, Temperatur, Zeit
-2.700000000000000178e-01,-6.804000000000000048e-01,2.601999999999999957e+01,1.200000000000000000e+02
-2.700000000000000178e-01,-6.804999999999999938e-01,2.601999999999999957e+01,2.400000000000000000e+02
-2.700000000000000178e-01,-6.805999999999999828e-01,2.601999999999999957e+01,3.600000000000000000e+02
-2.700000000000000178e-01,-6.805999999999999828e-01,2.601999999999999957e+01,4.800000000000000000e+02
-2.701000000000000068e-01,-6.804000000000000048e-01,2.603000000000000114e+01,6.000000000000000000e+02
-2.701000000000000068e-01,-6.803000000000000158e-01,2.601999999999999957e+01,7.200000000000000000e+02
-2.701000000000000068e-01,-6.803000000000000158e-01,2.601999999999999957e+01,8.400000000000000000e+02
-2.701999999999999957e-01,-6.804000000000000048e-01,2.601999999999999957e+01,9.600000000000000000e+02
-2.701999999999999957e-01,-6.803000000000000158e-01,2.601999999999999957e+01,1.080000000000000000e+03
-2.702999999999999847e-01,-6.803000000000000158e-01,2.601999999999999957e+01,1.200000000000000000e+03
-2.701000000000000068e-01,-6.804000000000000048e-01,2.603000000000000114e+01,1.320000000000000000e+03
-2.702999999999999847e-01,-6.804000000000000048e-01,2.601999999999999957e+01,1.440000000000000000e+03
-2.702999999999999847e-01,-6.803000000000000158e-01,2.601000000000000156e+01,1.560000000000000000e+03
-2.701999999999999957e-01,-6.803000000000000158e-01,2.601999999999999957e+01,1.680000000000000000e+03
-2.705000000000000182e-01,-6.804000000000000048e-01,2.601999999999999957e+01,1.800000000000000000e+03
-2.702999999999999847e-01,-6.806999999999999718e-01,2.601999999999999957e+01,1.920000000000000000e+03
-2.703999999999999737e-01,-6.806999999999999718e-01,2.601999999999999957e+01,2.040000000000000000e+03
-2.705000000000000182e-01,-6.803000000000000158e-01,2.601999999999999957e+01,2.160000000000000000e+03
-2.703999999999999737e-01,-6.803000000000000158e-01,2.601000000000000156e+01,2.280000000000000000e+03
-2.705000000000000182e-01,-6.802000000000000268e-01,2.601999999999999957e+01,2.400000000000000000e+03
-2.706000000000000072e-01,-6.803000000000000158e-01,2.601999999999999957e+01,2.520000000000000000e+03
-2.705000000000000182e-01,-6.802000000000000268e-01,2.601000000000000156e+01,2.640000000000000000e+03
-2.706000000000000072e-01,-6.803000000000000158e-01,2.601999999999999957e+01,2.760000000000000000e+03
-2.705000000000000182e-01,-6.802000000000000268e-01,2.601999999999999957e+01,2.880000000000000000e+03
-2.706999999999999962e-01,-6.803000000000000158e-01,2.601999999999999957e+01,3.015000000000000000e+03
-2.706999999999999962e-01,-6.804000000000000048e-01,2.601999999999999957e+01,3.120000000000000000e+03
-2.706999999999999962e-01,-6.803000000000000158e-01,2.601000000000000156e+01,3.240000000000000000e+03
-2.707999999999999852e-01,-6.803000000000000158e-01,2.601000000000000156e+01,3.360000000000000000e+03
-2.707999999999999852e-01,-6.802000000000000268e-01,2.600000000000000000e+01,3.480000000000000000e+03
-2.707999999999999852e-01,-6.803000000000000158e-01,2.601999999999999957e+01,3.615000000000000000e+03
-2.708999999999999742e-01,-6.802000000000000268e-01,2.601000000000000156e+01,3.720000000000000000e+03
-2.708999999999999742e-01,-6.803000000000000158e-01,2.601000000000000156e+01,3.840000000000000000e+03
-2.708999999999999742e-01,-6.803000000000000158e-01,2.600000000000000000e+01,3.960000000000000000e+03
-2.710000000000000187e-01,-6.803000000000000158e-01,2.601000000000000156e+01,4.080000000000000000e+03
-2.710000000000000187e-01,-6.801000000000000378e-01,2.601000000000000156e+01,4.200000000000000000e+03
-2.711000000000000076e-01,-6.802000000000000268e-01,2.600000000000000000e+01,4.320000000000000000e+03
-2.711000000000000076e-01,-6.803000000000000158e-01,2.601000000000000156e+01,4.440000000000000000e+03
-2.711000000000000076e-01,-6.802000000000000268e-01,2.601000000000000156e+01,4.560000000000000000e+03
-2.711999999999999966e-01,-6.804000000000000048e-01,2.601000000000000156e+01,4.680000000000000000e+03
-2.711000000000000076e-01,-6.801000000000000378e-01,2.601000000000000156e+01,4.800000000000000000e+03
-2.711999999999999966e-01,-6.803000000000000158e-01,2.601000000000000156e+01,4.920000000000000000e+03
-2.712999999999999856e-01,-6.802000000000000268e-01,2.601000000000000156e+01,5.040000000000000000e+03
-2.711999999999999966e-01,-6.802000000000000268e-01,2.600000000000000000e+01,5.160000000000000000e+03
-2.712999999999999856e-01,-6.802000000000000268e-01,2.600000000000000000e+01,5.280000000000000000e+03
-2.713999999999999746e-01,-6.804000000000000048e-01,2.600000000000000000e+01,5.400000000000000000e+03
-2.711999999999999966e-01,-6.802000000000000268e-01,2.601000000000000156e+01,5.520000000000000000e+03
-2.713999999999999746e-01,-6.803000000000000158e-01,2.600000000000000000e+01,5.640000000000000000e+03
-2.715000000000000191e-01,-6.802000000000000268e-01,2.600000000000000000e+01,5.760000000000000000e+03
-2.715000000000000191e-01,-6.800000000000000488e-01,2.600000000000000000e+01,5.880000000000000000e+03
-2.715000000000000191e-01,-6.802000000000000268e-01,2.600000000000000000e+01,6.000000000000000000e+03
-2.715000000000000191e-01,-6.801000000000000378e-01,2.598999999999999844e+01,6.120000000000000000e+03
-2.716000000000000081e-01,-6.803000000000000158e-01,2.600000000000000000e+01,6.240000000000000000e+03
-2.716000000000000081e-01,-6.801000000000000378e-01,2.600000000000000000e+01,6.360000000000000000e+03
-2.716999999999999971e-01,-6.802000000000000268e-01,2.598000000000000043e+01,6.620000000000000000e+03
-2.716999999999999971e-01,-6.801000000000000378e-01,2.600000000000000000e+01,6.720000000000000000e+03
-2.716999999999999971e-01,-6.802000000000000268e-01,2.598999999999999844e+01,6.840000000000000000e+03
-2.716999999999999971e-01,-6.802000000000000268e-01,2.598999999999999844e+01,6.960000000000000000e+03
-2.717999999999999861e-01,-6.801000000000000378e-01,2.600000000000000000e+01,7.080000000000000000e+03
-2.716999999999999971e-01,-6.798999999999999488e-01,2.600000000000000000e+01,7.215000000000000000e+03
-2.718999999999999750e-01,-6.801000000000000378e-01,2.600000000000000000e+01,7.320000000000000000e+03
-2.717999999999999861e-01,-6.801000000000000378e-01,2.600000000000000000e+01,7.440000000000000000e+03
-2.717999999999999861e-01,-6.803000000000000158e-01,2.598999999999999844e+01,7.560000000000000000e+03
-2.718999999999999750e-01,-6.800000000000000488e-01,2.598999999999999844e+01,7.680000000000000000e+03
-2.718999999999999750e-01,-6.801000000000000378e-01,2.598999999999999844e+01,7.800000000000000000e+03
-2.718999999999999750e-01,-6.801000000000000378e-01,2.598999999999999844e+01,7.920000000000000000e+03
-2.720000000000000195e-01,-6.800000000000000488e-01,2.598999999999999844e+01,8.040000000000000000e+03
-2.718999999999999750e-01,-6.802000000000000268e-01,2.598999999999999844e+01,8.160000000000000000e+03
-2.718999999999999750e-01,-6.800000000000000488e-01,2.598999999999999844e+01,8.280000000000000000e+03
-2.720000000000000195e-01,-6.801000000000000378e-01,2.598999999999999844e+01,8.400000000000000000e+03
-2.720000000000000195e-01,-6.801000000000000378e-01,2.598999999999999844e+01,8.520000000000000000e+03
-2.720000000000000195e-01,-6.800000000000000488e-01,2.598999999999999844e+01,8.640000000000000000e+03
-2.721000000000000085e-01,-6.800000000000000488e-01,2.598999999999999844e+01,8.760000000000000000e+03
-2.720000000000000195e-01,-6.800000000000000488e-01,2.598999999999999844e+01,8.880000000000000000e+03
-2.721000000000000085e-01,-6.800000000000000488e-01,2.598999999999999844e+01,9.000000000000000000e+03
-2.721000000000000085e-01,-6.798999999999999488e-01,2.598000000000000043e+01,9.120000000000000000e+03
